Languages,macroarea
Jingpho,Eurasia
K'iche',
Kabardian,Eurasia
Kabiye,
Kachi Koli,
Kadazandusun,
Kafa,
Kalaallisut,
Kalam Kohistani,
Kalmyk Oirat,
Kamba,Africa
"Kambaata, Ge'ez",
"Kambaata, Latin",
Kangri,
Kankanaey,
"Kannada, Kannada",
"Kannada, Latin",
"Kannada, Transliteration",
Kannauji,
"Kannauji,Transliteration",
Kanuri,Africa
Kapampangan,Papunesia
Karachay-Balkar,Eurasia
"Karakalpak, Cyrillic",
"Karakalpak, Latin",
Karay-a,
Karelian,Eurasia
Karo,
"Kashmiri, Arabic",
"Kashmiri, Arabic, Transliteration",
"Kashmiri, Devanagari",
"Kashmiri, Devanagari, Transliteration",
"Kashmiri, Latin",
Kashubian,Eurasia
"Kazakh, Cyrillic",
Kedah Malay,
Kekchi,
Kelantan-Pattani Malay,
Khams Tibetan,
Khasi,Eurasia
Khmer,Eurasia
Khmer Surin,
Khmu,
"Khorasani Turkic, Arabic",
"Khorasani Turkic, Latin",
Khowar,Eurasia
Kiga,
Kikongo-Kituba,
Kikuyu,Africa
Kimbundu,
Kinyarwanda,Africa
Kipsigis,
Kiribati,Papunesia
Kirmanjki,
Kituba,Africa
Kohistani Shina,
"Kok Borok, Bengali",
"Kok Borok, Bengali, Transliteration",
"Kok Borok, Latin",
Kölsch,
Komering,Papunesia
Komi-Permyak,Eurasia
Komi-Zyrian,Eurasia
Kongo,Africa
"Konkani, Devanagari",
"Konkani, Devanagari, Transliteration",
"Konkani, Kannada",
"Konkani, Kannada, Transliteration",
"Konkani, Latin",
Konkomba,Africa
Konzo,
Koongo,
Korean,Eurasia
Korku,Eurasia
"Korku, Transliteration",
Koronadal Blaan,
Krio,
Kuhmareyi,
Kui,
Kumaoni,
"Kumaoni, Transliteration",
Kumyk,Eurasia
"Kurdish (Iran), Arabic",
"Kurdish (Iraq), Arabic",
"Kurdish, Latin",
"Kurukh, Devanagari",
"Kurukh, Devanagari, Transliteration",
"Kurukh, Malayalam",
Kutai Malay,
Kutchi,
Kwanyama,
Kyrgyz,
Ladin,Eurasia
Ladino,Eurasia
Ladino (Israel),
Lahu,Eurasia
Lak,Eurasia
Laki,
Lakota,
Lama,
"Lambadi, Devanagari",
"Lambadi, Devanagari, Transliteration",
"Lambadi, Kannada",
"Lambadi, Telugu",
"Lambadi, Telugu, Transliteration",
Lampung Api,
Lango,Africa
Lao,Eurasia
"Lao, Transliteration",
Latgalian,
Latin,
Latvian,Eurasia
Ledo Kaili,
Lendu,Africa
"Lepcha, Lepcha",
"Lepcha, Tibetan",
Lezgian (Azerbaijan),
Lezgian (Russia),
Ligurian,
"Limbu, Devanagari",
"Limbu, Limbu",
Limburgish,
Lingala (Angola),
Lingala (DRC),
Lisu,Eurasia
Lithuanian,Eurasia
Livonian,
Livvi-Karelian,
Lojban,
Lombard,
Lomwe,
Low Saxon,
Lower Sorbian,
Luba-Kasai,
Luba-Katanga,
Luganda,Africa
Lugbara,Africa
Luo,Africa
Luxembourgish,
Ma'anyan,Papunesia
Maasai,Africa
Maay Maay,
"Maba, Arabic",
"Maba, Latin",
Macedonian,Eurasia
Madurese,Papunesia
Magahi (India),
"Magahi (India), Transliteration",
Magahi (Nepal),
Maguindanao,
Maharashtrian Konkani,
Mahasu Pahari,
"Maithili, Devanagari",
"Maithili, Latin",
"Maithili, Transliteration",
Makassar Malay,
"Makassarese, Latin",
"Makassarese, Lontara",
Makhuwa-Meetto,
Makonde,Africa
Malagasy,Africa
"Malay (Brunei), Arabic",
"Malay (Brunei), Latin",
"Malay (Malaysia), Arabic",
"Malay (Malaysia), Latin",
"Malay, Singapore, Latin",
"Malayalam, Latin",
"Malayalam, Malayalam",
"Malayalam, Transliteration",
Maltese,Eurasia
Malvi,
"Malvi, Transliteration",
Mamasa,Papunesia
Manado Malay,
Mandar,Papunesia
Mandeali,
"Mandeali, Transliteration",
Mandinka,Africa
Manggarai,Papunesia
"Manipuri, Bengali",
"Manipuri, Bengali, Transliteration",
"Manipuri, Latin",
"Manipuri, Meitei",
"Manipuri, Meitei, Transliteration",
Manx,Eurasia
Maori,Papunesia
Maranao,Papunesia
"Marathi, Devanagari",
"Marathi, Latin",
"Marathi, Transliteration",
Marba,
Marwari (India),
"Marwari (India), Transliteration",
Marwari (Pakistan),
"Marwari (Pakistan), Transliteration",
Masaba,
Massa,
Mazandarani,
Meadow Mari,
Mehri,Eurasia
Melanau,Papunesia
Mende,Africa
Meru,
Merwari,
"Merwari, Transliteration",
Mewari,
"Mewari, Transliteration",
Minangkabau,Papunesia
Mingrelian,Eurasia
Mizo,Eurasia
Moba,
Moksha,
Mon,Eurasia
Mongolian,
"Mongolian, Transliteration",
Mongondow,Papunesia
"Montenegrin, Cyrillic",
"Montenegrin, Latin",
Mossi,
Muna,Papunesia
Mundang,Africa
"Mundari, Bengali",
"Mundari, Devanagari",
"Mundari, Latin",
"Mundari, Odia",
Muong,Eurasia
Musi,
Nahuatl,
Nande,Africa
Nandi,Africa
Nauruan,Papunesia
Navajo,North America
Ndau,
Ndonga,Africa
Neapolitan,
Nenets,Eurasia
"Nepali (India), Devanagari",
"Nepali (India), Latin",
"Nepali (India), Transliteration",
"Nepali (Nepal), Devanagari",
Newari,
Ngaju,
Ngambay,Africa
Ngbaka Gbaya,
Nias,Papunesia
Nigerian Pidgin,Africa
Nimadi,
"Nimadi, Transliteration",
Niuean,Papunesia
Nkore,
North Moluccan Malay,
Northern Betsimisaraka Malagasy,
Northern Grebo,
Northern Hindko,
"Northern Hindko, Transliteration",
Northern Luri,
Northern Min,
Northern Ndebele,
Northern Sami,
Northern Sotho,
Northern Thai,
Norwegian Bokmål,
Norwegian Nynorsk,
Ntcham,
Nung,
"Nuosu, Latin",
"Nuosu, Yi",
Nupe,Africa
Nyakyusa,
Nyamwezi,Africa
Nyanja,
Nyaturu,
Nyoro,
Occitan,Eurasia
"Odia, Latin",
"Odia, Odia",
"Odia, Transliteration",
"Ojibwe, Latin",
"Ojibwe, Syllabics",
Oromo,
Osage,North America
Ossetian,
Pa'O Karen,
Pahari-Pothwari,
"Pahari-Potwari, Transliteration",
Palantine German,
Pamona,Papunesia
Pangasinan,Papunesia
Papiamento (Aruba),
Papiamentu (Bonaire and Curaçao),
Papuan Malay,
Parauk Wa,
Parkari Koli,
Pashto,Eurasia
"Pashto, Transliteration",
Persian,Eurasia
"Persian, Transliteration",
Picard,
Piedmontese,
Plateau Malagasy,
Pokot,Africa
Polish,Eurasia
Pontic Greek,
Portuguese (Africa),
Portuguese (Angola),
Portuguese (Brazil),
Portuguese (Macau),
Portuguese (Portugal),
Pulaar,
"Punjabi, Arabic",
"Punjabi, Arabic, Transliteration",
"Punjabi, Gurmukhi",
"Punjabi, Gurmukhi, Transliteration",
"Punjabi, Latin",
Qashqai,
Quechua,
"Rangpuri, Bengali",
"Rangpuri, Devanagari",
"Rangpuri, Devanagari, Transliteration",
Rejang,Papunesia
Réunion Creole,
Rinconada Bikol,
Rohingya,
Romanian (Moldova),
Romanian (Romania),
Romansh,
Rundi,Africa
Russian (Belarus),
Russian (Kyrgyzstan),
Russian (Russia),
Rusyn,
Sabah Malay,
Sadri,
Saint Lucian Creole French,
Sakalava Malagasy,
Sakha,
Samoan,Papunesia
Samogitian,
Sango,Africa
"Sanskrit, Devanagari",
"Sanskrit, Latin",
"Sanskrit, Transliteration",
"Santali, Bengali",
"Santali, Bengali, Transliteration",
"Santali, Devanagari",
"Santali, Latin",
"Santali, Ol Chiki",
"Santali, Ol Chiki, Transliteration",
Sar,
"Saraiki, Sindhi Arabic",
"Saraiki, Sindhi Arabic, Transliteration",
"Saraiki, Urdu Arabic",
"Saraiki, Urdu Arabic, Transliteration",
Sardinian,Eurasia
"Sasak, Aksara Bali",
"Sasak, Latin",
Sassarese,
Saurashtra,
Scots,
Scottish Gaelic,
Sebat Bet Gurage,
Sena,Africa
"Serbian, Cyrillic",
"Serbian, Latin",
Serer,
Sesotho (Lesotho),
Sesotho (South Africa),
Seychellois Creole,
Sgaw Karen,
Shan,Eurasia
Shekhawati,Eurasia
"Shekhawati, Transliteration",
Sherpa,Eurasia
Shina,Eurasia
"Shina, Transliteration",
Shona,Africa
Siberian Tatar,
Sicilian,
Sidamo,
Silesian,
"Silt'e, Ge’ez",
"Silt'e, Latin",
"Sindhi, Arabic",
"Sindhi, Arabic, Transliteration",
"Sindhi, Devanagari",
"Sindhi, Devanagari, Transliteration",
"Sindhi, Latin",
Sinhala,Eurasia
"Sinhala, Transliteration",
Slovak,Eurasia
Slovenian,
Soga,
Somali,Africa
Songe,Africa
Soninke,Africa
South Bolivian Quechua,
Southeastern Pashayi,
Southern Balochi,
"Southern Balochi, Transliteration",
Southern Betsimisaraka Malagasy,
Southern Hindko,
"Southern Hindko, Transliteration",
Southern Kurdish,
Southern Luri,
"Southern Min, POJ",
"Southern Min, TL",
Southern Ndebele,
Southern Oromo,
Southern Thai,
Southwestern Pashayi,
Spanish (Argentina),
Spanish (Latin America),
Spanish (Mexico),
Spanish (Spain),
Spanish (US),
Sranan,South America
Sukuma,Africa
"Sundanese, Arabic",
"Sundanese, Latin",
"Sundanese, Sundanese",
Supyire,Africa
Surgujia,
Surjapuri,
"Surjapuri, Transliteration",
Swahili,Africa
Swazi (South Africa),
Swazi (Swaziland),
Swedish (Finland),
Swedish (Sweden),
Swiss German,
"Sylheti, Bengali",
"Sylheti, Latin",
"Sylheti, Syloti Nagri",
Tabasaran,
Tahitian,Papunesia
"Tai Dam, Latin",
"Tai Dam, Tai Viet",
Tai Lue,
Tai Nuea,
Tajik,Eurasia
Talysh (Azerbaijan),Eurasia
Talysh (Iran),
Talysh (Russia),
"Tamazight, Latin",
"Tamazight, Tifinagh",
"Tamil (India), Latin",
"Tamil (India), Tamil",
"Tamil (India), Transliteration",
Tamil (Singapore),
Tamil (Sri Lanka),
Tandroy-Mahafaly Malagasy,
Tatar,Eurasia
Tati,
Tausug,Papunesia
Tay,
"Telugu, Latin",
"Telugu, Telugu",
"Telugu, Transliteration",
Temne,Africa
Teso,Africa
Tetela,Africa
Tetum,
Thai,Eurasia
Tibetan,
Tigrinya (Eritrea),
Tigrinya (Ethiopia),
Tiv,Africa
Tok Pisin,Papunesia
Tokelauan,Papunesia
Tongan,Papunesia
Tooro,
Toraja-Sa'dan,
Torwali,Eurasia
Trinidadian Creole English,
Tsonga,Africa
Tswa,
Tswana (Botswana),
Tswana (South Africa),
Tulu,Eurasia
"Tulu, Transliteration",
Tumbuka,
Turkana,Africa
Turkish (Cyprus),
Turkish (Turkey),
Turkmen,Eurasia
Tuvaluan,Papunesia
Tuvan,Eurasia
Udmurt,Eurasia
Ukrainian,Eurasia
Umbundu,
Upper Saxon,
Upper Sorbian,
Urdu (India),
"Urdu (India), Latin",
"Urdu (India), Transliteration",
Urdu (Pakistan),
Urum,Eurasia
Uyghur,Eurasia
"Uzbek, Cyrillic",
"Uzbek, Latin",
Vai,Africa
Valencian,
Varhadi,
"Varhadi, Transliteration",
"Vasavi, Devanagari",
"Vasavi, Gujarati",
Veluws,
Venda,Africa
Venetian,
Veps,Eurasia
Vietnamese,Eurasia
Vlax Romani (Albania),
Vlax Romani (Romania),
Võro,
Wagdi,
"Wagdi, Transliteration",
Walloon,
Wanetsi,
Waray,
Wayuu,
Welsh,Eurasia
West Flemish,
Western Balochi,
"Western Cham, Cham",
"Western Cham, Latin",
Western Frisian,
"Western Kayah, Kayah Li",
Wolaytta,Africa
Wolof,Africa
Xaasongaxango,
Xhosa,Africa
Xong,
Yaka,Africa
Yao,
Yiddish (Israel),
Yiddish (US),
"Yiddish (US), Transliteration",
Yongbei Zhuang,
Yoruba,Africa
Youjiang Zhuang,
Yucatec Maya,
Zande,Africa
Zarma,Africa
Zaza,
Zeelandic,
Zhuang,
Zulu,Africa
