Language,Language (English name),languageHints code,Script / notes,Mapped to
Nāhuatl,Nahuatl,nah,Latn,Latin script model
Diné bizaad,Navajo,nv,Latn,Latin script model
Ndonga,Ndonga,ng,Latn,Latin script model
ko e vagahau Niuē,Niuean,niu,Latn,Latin script model
Zimbabwe Ndebele,North Ndebele,nd,Latn,Latin script model
Sesotho sa Leboa,Northern Sotho,nso,Latn,Latin script model
"Chichewa, Chinyanja",Nyanja,ny,Latn,Latin script model
Runyankore,Nyankole,nyn,Latn,Latin script model
Chitonga,Nyasa Tonga,tog,Latn,Latin script model
Appolo,Nzima,nzi,Latn,Latin script model
"Occitan, lenga d'òc, provençal",Occitan,oc,Latn,Latin script model
"Anishinaabemowin, ᐊᓂᔑᓈᐯᒧᐎᓐ",Ojibwa,oj,Latn,Latin script model
"Ænglisc, Englisc, Anglisc",Old English,ang,Latn,Latin script model
"Franceis, François, Romanz",Old French,fro,Latn,Latin script model
"Diutisk, Althochdeutsch",Old High German,goh,Latn,Latin script model
Dǫnsk tunga,Old Norse,non,Latn,Latin script model
Occitan ancian,Old Provencal,pro,Latn,Latin script model
ирон ӕвзаг,Ossetic,os,Cyrl,Cyrillic script model
Kapampangan,Pampanga,pam,Latn,Latin script model
Salitan Pangasinan,Pangasinan,pag,Latn,Latin script model
Papiamentu,Papiamento,pap,Latn,Latin script model
Português (Portugal),Portuguese,pt-PT,Latn; European,pt
Kechua / Runa Simi,Quechua,qu,Latn,Latin script model
Rumantsch,Romansh,rm,Latn,Latin script model
Romani čhib,Romany,rom,Latn,Latin script model
Ikirundi,Rundi,rn,Latn,Latin script model
Sakha,Sakha,sah,Cyrl,Cyrillic script model
Gagana faʻa Sāmoa,Samoan,sm,Latn,Latin script model
yângâ tî sängö,Sango,sg,Latn,Latin script model
"(Braid) Scots, Lallans, Doric",Scots,sco,Latn,Latin script model
Gàidhlig,Scottish Gaelic,gd,Latn,Latin script model
chiShona,Shona,sn,Latn,Latin script model
Songhay,Songhai,son,Latn,Latin script model
Sesotho,Southern Sotho,st,Latn,Latin script model
Español (Latinoamérica),Spanish,es-419,Latn; Latin American,es
"ᮘᮞ ᮞᮥᮔ᮪ᮓ , Basa Sunda",Sundanese,su,Latn,Latin script model
siSwati,Swati,ss,Latn,Latin script model
Reo Tahiti,Tahitian,ty,Latn,Latin script model
тоҷикӣ,Tajik,tg,Cyrl,Cyrillic script model
татар теле,Tatar,tt,Cyrl/Latn,Cyrillic script model
KʌThemnɛ,Temne,tem,Latn,Latin script model
lea faka-Tonga,Tongan,to,Latn,Latin script model
Xitsonga,Tsonga,ts,Latn,Latin script model
Setswana,Tswana,tn,Latn,Latin script model
Türkmençe,Turkmen,tk,Latn,Cyrillic script model
удмурт кыл,Udmurt,udm,Cyrl,Cyrillic script model
Tshivenḓa,Venda,ve,Latn,Latin script model
Vod,Votic,vot,Cyrl/Latn,Cyrillic script model
Frysk,Western Frisian,fy,Latn,Latin script model
Wolof,Wolof,wo,Latn,Latin script model
isiXhosa,Xhosa,xh,Latn,Latin script model
Èdè Yorùbá,Yoruba,yo,Latn,Latin script model
Diidxazá,Zapotec,zap,Latn,Latin script model
